"net","mod","nnodes_min","nnodes_mean","nnodes_max","nedges_min","nedges_mean","nedges_max","k_min","k_mean","k_max","C_min","C_mean","C_max","D_min","D_mean","D_max","L_min","L_mean","L_max"
"CL","CSR",202,246,296,390,547,702,3.77,4.42,5.1,0.35,0.43,0.51,0.0158,0.0181,0.0214,3.4,6.73,10.61
"CL","HC",63,86,110,65,104,153,2.06,2.41,3.44,0.25,0.33,0.42,0.022,0.0288,0.0391,2.21,3.32,4.52
"CL","Mat",197,258,354,458,830,1490,4.62,6.32,8.44,0.46,0.52,0.58,0.0194,0.0247,0.0297,2.71,4.84,7.28
"CL","Str",112,142,174,148,217,272,2.55,3.04,3.88,0.27,0.39,0.47,0.0167,0.0217,0.0284,2.36,4.46,7.51
"CL","Tho",197,274,348,634,1025,1501,5.49,7.36,9.04,0.56,0.61,0.67,0.0229,0.027,0.0334,2.85,4.48,7.38
"CS","CSR",238,276,310,776,1049,1268,6.52,7.56,8.29,0.57,0.6,0.64,0.0262,0.0275,0.029,7.67,8.34,9.13
"CS","HC",113,123,135,158,188,237,2.8,3.06,3.51,0.38,0.44,0.47,0.0229,0.0251,0.0279,4.89,8.3,14.38
"CS","Mat",236,276,334,1067,1450,2112,8.89,10.45,13.16,0.68,0.72,0.77,0.0325,0.0382,0.0441,4.68,7.42,9.95
"CS","Str",167,178,195,349,410,505,4.08,4.61,5.29,0.5,0.54,0.57,0.024,0.0261,0.0285,6.76,9.04,11.68
"CS","Tho",222,273,333,898,1430,2082,8.09,10.41,12.5,0.72,0.78,0.83,0.0319,0.0384,0.0456,2.7,5.32,9.66
"WCL","CSR",222,258,314,790,1171,1618,23.88,38.77,65.88,0.34,0.42,0.47,0.0139,0.0175,0.0229,13.94,23.81,60.24
"WCL","HC",58,85,101,100,200,284,7.97,17.46,44.88,0.21,0.3,0.4,0.0225,0.028,0.0359,7.18,14.86,32.62
"WCL","Mat",168,250,342,700,1530,2572,37.71,69.28,250.14,0.36,0.52,0.61,0.0202,0.0243,0.0283,9.06,21.8,121.84
"WCL","Str",118,147,169,282,440,548,10.01,23.33,43.56,0.29,0.37,0.45,0.0168,0.0206,0.0242,8.14,18.47,38.98
"WCL","Tho",191,267,330,1010,1867,2824,38.16,68.66,118.13,0.53,0.61,0.67,0.0216,0.026,0.0301,4.83,12.5,21.08
